model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,mean_rating,distance_sum,rating_min,speed_max,rides_count,ride_time_median,ride_stops_count,user_quality_median,rider_rating_mean,car_accidents_sum,driver_expirience,driver_age_mean,fix_duration_median,mean_destroy_degree,rarest_work,most_freq_work
Skoda Rapid,economy,petrol,4.02,2016,104165,2019,4.57948275862069,9507010.723710977,0.1,158.0,172,39.0,143,-4.4414014730336095,8.114367816091955,2139.0,0.6437270246012021,33.35632183908046,28.0,3.2,refuel,repair
Smart Coupe,economy,petrol,5.42,2017,117210,2019,4.6533908045977,15403820.892015133,0.1,164.0,172,43.0,141,2.397501307692271,8.14080459770115,2003.0,0.7134468628700148,32.91954022988506,23.0,2.7485714285714287,refuel,repair
VW Tiguan,economy,petrol,5.64,2016,109471,2019,4.642126436781609,12022996.443984438,0.13,126.51942289744318,171,53.5,622,-2.387404111066373,8.035632183908046,2001.0,0.5532329760674586,36.229885057471265,25.0,3.3485714285714288,refuel,reparking
VW Tiguan,economy,petrol,5.16,2014,58987,2021,4.031896551724138,21195910.449065734,0.1,165.91195642713998,168,45.5,145,-3.346106649721203,8.074137931034484,2042.0,0.47419387038608796,35.5919540229885,26.0,3.597142857142857,refuel,repair
Skoda Rapid,economy,petrol,3.54,2016,101495,2016,4.285747126436782,13990353.22720816,0.0,209.98283950882248,170,42.0,133,7.790726514575073,8.017241379310345,1247.0,0.716064988713935,34.00574712643678,28.0,3.051428571428571,refuel,reparking
Smart ForTwo,economy,petrol,5.02,2016,108995,2018,4.387931034482759,9269709.531679643,0.1,101.83942030119768,167,39.0,160,15.121775245344482,7.840229885057472,1574.0,0.3483448121406499,35.01149425287356,26.0,4.094285714285714,refuel,repair
Smart ForTwo,economy,petrol,5.08,2016,95935,2014,3.85867816091954,16657027.634673882,0.1,161.08277896296124,170,47.0,133,-3.309970275158099,8.032183908045976,2260.0,0.6308974886065446,35.1551724137931,27.0,3.717142857142857,refuel_check,reparking
Kia Rio X,economy,petrol,4.7,2013,41150,2021,4.456436781609195,16192147.011219418,0.1,120.02441407681069,166,43.0,132,8.841953404022632,7.829885057471265,1642.0,0.6233779900261158,31.7183908045977,26.0,4.388571428571429,refuel_check,repair
Mercedes-Benz E200,business,petrol,5.32,2011,1299,2019,4.447126436781609,20427293.78814421,0.1,175.24442527517795,167,43.0,137,5.590684034097991,8.086206896551724,1685.0,0.49121658686686676,34.64367816091954,24.0,3.8485714285714283,refuel_check,repair
Nissan Qashqai,standart,petrol,4.62,2013,40025,2020,3.897471264367816,10833997.004137255,0.1,181.59713594116903,171,46.5,133,11.066627647760747,7.787931034482758,1430.0,0.7051949193491869,33.310344827586206,27.0,3.68,refuel_check,reparking
Smart ForTwo,economy,petrol,4.54,2016,115037,2019,4.130114942528736,10544424.640253257,0.1,186.1179531519749,169,43.0,124,-10.973928059976847,7.908620689655172,1612.0,0.43091843909413063,33.62643678160919,23.0,4.731428571428571,refuel_check,repair
Renault Kaptur,standart,petrol,5.34,2013,51207,2017,4.571494252873563,9051244.23721845,0.1,156.0,168,38.0,143,-2.9678609951855854,8.059770114942529,2221.0,0.48074408349118547,34.10344827586207,28.0,3.1457142857142855,refuel_check,repair
Mini Cooper,business,petrol,3.84,2014,58789,2022,4.074942528735632,14479292.854849895,0.1,195.2360632275796,167,41.0,134,1.8797224514865123,8.017816091954023,1286.0,0.6692957998520039,35.12643678160919,26.0,3.0885714285714285,refuel,repair
Kia Sportage,standart,petrol,2.7,2014,60017,2020,5.331206896551724,9255259.719569338,0.33,112.2626779670123,170,36.0,134,-3.6310703667818425,7.998850574712644,1212.0,0.6937807401989503,33.57471264367816,25.0,3.6885714285714286,oil_change,repair
Kia Rio,economy,petrol,2.96,2014,65703,2016,4.217011494252874,16509060.789360844,0.1,177.13405127768635,172,43.0,125,0.3146103400208526,7.8356321839080465,1614.0,0.6591174117255182,32.52298850574713,24.0,3.748571428571428,refuel_check,repair
Nissan Qashqai,standart,petrol,5.42,2012,20276,2016,4.1498275862068965,19977026.737995993,0.1,197.5346514078148,168,46.5,138,-1.098368665386231,7.8373563218390805,1557.0,0.46595069619949925,34.47701149425287,27.0,4.694285714285715,refuel_check,repair
VW Tiguan,economy,petrol,4.9,2017,114576,2019,4.067528735632184,17296276.779062003,0.1,183.49692933404805,170,44.0,124,-13.493252665350669,7.9672413793103445,1215.0,0.4817783853586649,35.95402298850575,27.0,2.3342857142857145,refuel,reparking
Renault Sandero,standart,petrol,3.8,2011,3028,2021,3.916206896551724,15713161.187668815,0.0,185.33961233674796,165,45.5,124,2.0236158803262634,8.020689655172413,1338.0,0.47107239845881643,34.701149425287355,26.0,3.237142857142857,oil_change,repair
Hyundai Solaris,economy,petrol,3.86,2014,58610,2017,4.660172413793103,7117682.887295571,0.1,101.33342383388566,167,39.0,150,0.1927822603920015,7.80632183908046,1625.0,0.9010579311126323,34.07471264367816,27.0,3.237142857142857,refuel,reparking
Kia Rio X,economy,petrol,4.36,2013,47354,2020,4.278965517241379,17252429.84524186,0.0,172.0510387003145,167,48.5,142,2.2423740138833965,8.030459770114943,1471.0,0.6435794531484273,35.241379310344826,24.0,2.6228571428571428,refuel,reparking
Smart ForTwo,economy,petrol,3.18,2016,96361,2020,4.508448275862069,11815667.499680225,0.1,110.02402089612136,168,38.5,127,7.57269200332102,7.852298850574712,1574.0,0.6896205817370801,34.275862068965516,25.0,3.4657142857142857,refuel,reparking
Smart ForTwo,economy,petrol,2.78,2015,93180,2017,3.9448275862068964,17122201.070706572,0.1,193.7127461972635,167,47.0,147,13.34212544236376,7.850574712643678,1600.0,0.9095797371926447,33.201149425287355,24.0,4.191428571428571,refuel,repair
VW Polo VI,economy,petrol,2.52,2011,5500,2018,4.046149425287356,3803221.1174842,0.1,192.4459711469768,171,41.0,157,-5.294573329014524,7.749425287356322,1586.0,0.6522609570262196,33.833333333333336,26.0,2.8,refuel,reparking
Skoda Rapid,economy,petrol,4.88,2017,137213,2019,4.67183908045977,20729106.634006854,0.1,169.08232539229763,169,47.0,628,-0.0925249141415598,8.063218390804598,1969.0,0.6495404080987811,34.81609195402299,25.0,3.8,refuel,repair
VW Polo VI,economy,petrol,3.88,2012,25173,2018,5.319080459770115,10022071.901391407,0.36,122.63770448111772,169,40.0,131,0.37393248944848023,8.020114942528735,1308.0,0.7526591464601453,34.18390804597701,27.0,3.105714285714286,refuel,reparking
Hyundai Solaris,economy,petrol,4.1,2013,40281,2019,5.414597701149425,18427386.97187734,0.45,113.61741681708182,172,41.0,137,-1.168393328991379,8.00919540229885,1199.0,0.5495960317118302,33.91379310344828,28.0,3.9,refuel,repair
Renault Kaptur,standart,petrol,5.4,2013,47719,2018,4.275977011494253,13575005.747928873,0.1,189.4908427961317,171,45.0,133,-9.268339531628085,7.9126436781609195,1698.0,0.42307618790737506,33.43103448275862,26.0,4.645714285714286,refuel_check,repair
Kia Sportage,standart,petrol,4.7,2015,84786,2021,4.044310344827586,17452445.64929375,0.1,181.5948050220017,167,46.0,136,-5.160855330887383,7.855747126436782,1545.0,0.5607194526236376,34.0919540229885,23.0,2.7399999999999998,refuel,reparking
Kia Rio X,economy,petrol,4.5,2014,65491,2020,4.767241379310345,15549613.848861823,0.94,200.0,164,59.0,594,9.110570671628304,8.083333333333334,1799.0,0.4057627131881674,33.293103448275865,28.0,3.2142857142857144,refuel_check,repair
VW Tiguan,economy,petrol,5.1,2015,88451,2020,3.9442528735632183,22141976.486220133,0.1,168.47728484452395,166,42.5,147,-2.0340358987972462,8.047126436781609,1983.0,0.7169406204399885,35.9080459770115,22.0,3.765714285714286,refuel,repair
Kia Rio X,economy,petrol,3.82,2012,18403,2018,3.995,11863044.501202293,0.1,199.4113740601043,165,44.0,126,9.385431346270703,7.8999999999999995,1647.0,0.5364393584437275,32.62068965517241,25.0,3.3457142857142856,refuel_check,repair
Nissan Qashqai,standart,petrol,4.12,2011,251,2015,3.9639655172413795,15297087.098631687,0.1,185.27939214918771,173,44.0,136,-2.1540850024406017,7.91551724137931,1158.0,0.40957586635370125,35.752873563218394,27.0,2.8885714285714283,refuel_check,repair
Hyundai Solaris,economy,petrol,5.26,2012,28216,2015,4.627988505747126,13246043.433951415,0.12,177.0,170,53.0,553,5.753195176212715,8.063218390804598,2018.0,0.5092702482043592,33.741379310344826,28.0,3.505714285714286,refuel,reparking
VW Tiguan,economy,petrol,4.48,2016,105035,2018,4.63,18542904.789115455,0.1,124.25252355038036,168,50.0,595,-12.471731054709885,8.068965517241379,1775.0,0.5935213528835592,35.793103448275865,25.0,2.782857142857143,refuel,reparking
Skoda Rapid,economy,petrol,5.56,2016,94354,2021,3.9722988505747123,11906123.224730974,0.1,197.01095885357128,168,44.0,136,0.16206825966150984,7.856896551724137,1586.0,0.5160000271301277,34.59770114942529,26.0,4.722857142857143,refuel_check,repair
Kia Rio,economy,petrol,3.62,2014,58269,2019,4.1194252873563215,3910275.2890529493,0.0,176.29222859928723,172,41.5,144,-2.613718872124774,7.9798850574712645,1318.0,0.6980190690543283,33.94252873563219,25.0,3.617142857142857,refuel_check,repair
Kia Rio X,economy,petrol,4.58,2011,4083,2016,4.167356321839081,17683875.318707902,0.1,191.08848264225156,169,47.0,137,-8.925689427116065,7.969540229885058,1230.0,0.6160181892434664,35.01149425287356,24.0,3.125714285714286,reparking,repair
Skoda Rapid,economy,petrol,3.34,2016,93681,2014,4.655459770114942,13306107.40431244,0.0,188.9783976993745,168,46.0,131,-30.08311093700561,7.975287356321839,1190.0,0.68762809308292,35.96551724137931,25.0,4.334285714285714,refuel_check,repair
Smart ForFour,economy,petrol,4.98,2016,106858,2014,4.099540229885058,11587433.981394779,0.1,198.48929834405112,167,48.5,127,-3.420689876629966,7.893103448275863,1815.0,0.5047499304447917,32.78735632183908,28.0,4.051428571428572,refuel,repair
Renault Kaptur,standart,petrol,4.56,2012,22533,2020,4.839252873563218,10775576.939556593,0.21,174.22778926826246,168,54.5,639,3.814616537920873,8.101149425287355,1275.0,0.6104790529721907,33.5,27.0,3.5,refuel_check,reparking
Kia Rio X,economy,petrol,5.7,2013,48487,2019,4.926149425287356,13327345.334956426,0.0,173.3784470017017,164,43.5,159,-10.293346620683982,8.079885057471264,1384.0,0.48615990099969736,34.804597701149426,27.0,3.2114285714285717,refuel_check,reparking
Renault Kaptur,standart,petrol,5.8,2012,21154,2018,4.51735632183908,15308274.793739855,0.1,106.10855165450626,171,35.0,134,-10.987327473188447,7.775287356321839,1537.0,0.75157531155629,34.247126436781606,24.0,3.9542857142857146,refuel,repair
Skoda Rapid,economy,petrol,3.46,2017,111468,2017,3.8498275862068967,10140081.849360518,0.1,188.93888746580387,168,45.5,129,4.206150783905999,8.073563218390804,1388.0,0.5143269340715286,34.00574712643678,28.0,3.0771428571428574,refuel_check,repair
Hyundai Solaris,economy,petrol,3.22,2014,55735,2016,4.567528735632184,11506386.484044436,0.1,190.0,169,58.5,626,4.5492722118134985,8.091954022988507,1977.0,0.6511606111102389,33.270114942528735,23.0,3.3028571428571425,refuel,repair
VW Polo,economy,petrol,4.54,2012,19239,2018,4.005057471264368,8906595.130459595,0.1,176.41196496069557,167,41.5,130,5.703812487077718,8.120689655172415,2534.0,0.5002659917202414,33.71264367816092,25.0,4.445714285714286,refuel,repair
Kia Rio X,economy,petrol,5.12,2012,19918,2015,3.967126436781609,14842370.708165454,0.1,182.81232444321336,168,41.0,135,-14.580532382892219,7.892528735632184,1678.0,0.7374240724664897,31.89080459770115,24.0,3.6885714285714286,refuel,repair
Renault Sandero,standart,petrol,4.68,2014,59221,2015,4.11235632183908,9660830.539986135,0.1,177.16996506616007,164,43.0,133,-1.772681564452734,8.067241379310346,1919.0,0.6709534095548325,34.82183908045977,26.0,3.1,refuel_reparking,reparking
Renault Sandero,standart,petrol,3.36,2011,6019,2021,5.20448275862069,14720220.762335733,0.1,123.619141685415,169,42.0,148,2.932695571347707,8.047701149425286,1334.0,0.7945027098955559,35.35632183908046,23.0,4.414285714285715,refuel_check,repair
Kia Sportage,standart,petrol,3.72,2015,75739,2016,5.402298850574713,8515352.661026279,0.85,106.6379771119483,170,35.0,134,-3.3303316707070607,7.985057471264368,1249.0,0.4937939490086507,34.28735632183908,27.0,4.114285714285714,refuel,repair
Nissan Qashqai,standart,petrol,5.18,2013,44612,2016,4.254425287356321,6001695.738261409,0.1,181.0461654805773,173,44.5,133,0.08304558876924424,7.83448275862069,1661.0,0.6213855013719558,34.695402298850574,26.0,3.3971428571428572,refuel,repair
Kia Rio X,economy,petrol,4.62,2014,56626,2018,4.097758620689655,13709487.642575145,0.1,182.2791399577897,167,42.0,141,-3.9481719282411745,7.913218390804598,1547.0,0.7626128203967044,32.660919540229884,23.0,4.268571428571429,refuel_check,repair
Smart ForTwo,economy,petrol,5.84,2013,38431,2020,4.256264367816092,10615759.486011952,0.0,184.88662278210808,168,46.0,153,9.394843121739296,7.931609195402299,1214.0,0.30796613858603655,35.47126436781609,28.0,3.142857142857143,refuel,repair
VW Polo VI,economy,petrol,4.62,2015,87418,2019,3.985344827586207,12960569.015091175,0.1,179.75906074515763,167,41.0,150,-27.86278653178581,8.159770114942528,1814.0,0.33022174974389035,34.1551724137931,24.0,3.8314285714285714,refuel_reparking,repair
Smart Coupe,economy,petrol,4.86,2014,63075,2020,4.856896551724138,18600471.591976333,0.22,196.6015272676526,169,61.0,628,11.520849086503773,8.132758620689655,1524.0,0.6874364009172431,33.64942528735632,25.0,3.5142857142857142,refuel,reparking
VW Polo,economy,petrol,4.52,2011,8768,2020,4.346206896551724,15341783.419372523,0.0,198.5944433202849,170,48.0,148,-15.621428849489163,7.991954022988505,1393.0,0.644025524517517,34.06896551724138,24.0,4.002857142857143,refuel,repair
Smart ForTwo,economy,petrol,4.46,2013,43385,2016,4.795919540229885,19991985.60114994,0.1,181.0690689368081,168,60.5,626,0.8258253823751867,8.148275862068965,2208.0,0.6992791127680892,34.160919540229884,29.0,3.76,refuel_check,repair
Volkswagen ID.4 ,premium,electro,5.8,2014,52932,2021,4.793275862068965,9115999.583306326,0.1,171.0,170,53.5,591,3.5266757107507765,9.22528735632184,2269.0,0.49378182266364473,33.35057471264368,27.0,3.877142857142857,refuel,reparking
Kia Sportage,standart,petrol,4.14,2012,23529,2015,3.9530459770114943,13801992.470755732,0.1,191.02478969031603,172,47.5,151,6.532807001568745,7.929885057471264,1137.0,0.48252734131118885,34.695402298850574,26.0,3.222857142857143,refuel,repair
VW Polo,economy,petrol,5.34,2013,38078,2019,4.567471264367816,14536924.184936164,0.1,119.0,168,59.5,557,5.215981038404969,8.068390804597701,1813.0,0.5636734850752432,34.31609195402299,25.0,3.442857142857143,refuel,repair
Kia Sportage,standart,petrol,4.38,2014,57212,2020,4.288045977011494,13938106.405475862,0.1,191.9809966070908,166,42.5,128,0.6159695238444101,7.922988505747126,1228.0,0.5549512174953146,33.8448275862069,25.0,2.1685714285714286,refuel_check,reparking
Hyundai Solaris,economy,petrol,5.78,2015,85556,2020,5.322011494252873,4148047.5482452274,0.1,136.88354743464512,166,36.5,128,-3.99813266447695,7.859195402298851,1277.0,0.7636437652534179,34.839080459770116,24.0,2.9228571428571426,refuel_check,repair
Kia Rio,economy,petrol,4.42,2013,43498,2018,4.392011494252873,18596015.721761808,0.1,105.05018426587966,169,41.0,136,6.677617869679484,7.842528735632183,1469.0,0.5330392546230323,32.93103448275862,25.0,3.337142857142857,refuel_check,reparking
Smart ForTwo,economy,petrol,5.38,2014,61307,2021,4.191091954022989,11204686.702910718,0.0,200.0,171,46.0,145,26.99148600015039,7.959195402298851,1295.0,0.6655321797228468,35.172413793103445,25.0,3.3400000000000003,refuel_check,reparking
Hyundai Solaris,economy,petrol,3.68,2015,76475,2019,4.2748850574712645,12828868.5356765,0.1,191.66632929664712,169,44.0,144,-13.757766989686228,7.741379310344827,1563.0,0.6875300546665216,33.62643678160919,25.0,2.8400000000000003,refuel_check,reparking
Smart ForTwo,economy,petrol,3.9,2015,85592,2016,4.6451149425287355,19986642.190882027,0.26,146.07247806839624,170,52.0,670,-9.448214805800603,8.183333333333334,2023.0,0.45422150612082335,33.5919540229885,25.0,3.58,refuel_check,repair
Kia Rio X-line,economy,petrol,3.96,2015,82062,2014,4.294655172413793,18575394.57881134,0.0,180.94447330813827,167,50.0,140,-0.7311708167486337,7.970689655172414,1382.0,0.7448620436426467,33.189655172413794,28.0,3.517142857142857,refuel_reparking,reparking
VW Tiguan,economy,petrol,4.04,2013,40885,2022,4.669022988505747,8780774.256559843,0.1,137.91845786696285,170,53.0,592,-2.7232495237792778,8.128735632183908,1904.0,0.6454573923740636,35.201149425287355,27.0,3.1942857142857144,refuel,reparking
Hyundai Solaris,economy,petrol,5.16,2013,38432,2015,4.761091954022988,9534394.12690729,0.65,173.0,168,54.5,659,0.9049990580855887,8.176436781609196,2130.0,0.484932879310187,33.04597701149425,25.0,3.237142857142857,refuel,repair
Kia Rio,economy,petrol,3.44,2013,47064,2020,4.368850574712644,8652657.216118712,0.1,131.8727997742751,170,51.5,594,-2.816224419981758,8.086781609195402,1847.0,0.6495404080987811,34.58045977011494,27.0,3.1599999999999997,refuel_check,reparking
Skoda Rapid,economy,petrol,4.7,2017,109697,2021,4.341034482758621,10723459.266067225,0.1,199.88926587922344,169,43.5,139,-8.996741413000517,7.899425287356322,1679.0,0.5740765873916569,33.35057471264368,24.0,3.0914285714285716,refuel,repair
VW Polo VI,economy,petrol,3.42,2012,22261,2014,4.56867816091954,6596599.410381081,0.1,99.40808742247174,168,35.5,137,-0.4871508047203716,7.735057471264368,1514.0,0.355950222792472,34.09770114942529,27.0,3.325714285714286,refuel,reparking
Mini Cooper,business,petrol,3.26,2013,48070,2016,4.371149425287356,10039257.06231372,0.1,182.4054623537517,171,42.5,136,-2.122749655234274,7.887931034482759,1623.0,0.6087277895200841,33.50574712643678,26.0,3.1028571428571428,refuel,reparking
Renault Sandero,standart,petrol,5.14,2011,18628,2020,4.122413793103448,8913479.75499434,0.1,167.53882607433934,167,47.5,157,5.983658596316768,8.112068965517242,1658.0,0.48707629642788725,34.160919540229884,25.0,4.4,refuel_check,repair
Skoda Rapid,economy,petrol,3.48,2017,128159,2017,3.9251149425287357,19384103.001548592,0.1,176.98447366780988,167,44.0,123,-0.6738196606974118,8.070689655172414,2066.0,0.5318243592785279,33.695402298850574,25.0,4.088571428571428,refuel,repair
Smart Coupe,economy,petrol,4.02,2015,80183,2017,4.347413793103448,9238479.808522522,0.1,164.44147310022723,168,40.0,133,-5.9965409455522085,8.037931034482758,1917.0,0.6981336184828519,34.64367816091954,28.0,2.7885714285714287,refuel,reparking
Kia Rio X,economy,petrol,4.98,2012,20772,2016,4.60896551724138,8820497.211971529,0.1,179.7583006041497,164,38.0,134,-18.788916039859124,8.064942528735632,1884.0,0.650468929871977,32.71264367816092,25.0,2.857142857142857,refuel,repair
Hyundai Solaris,economy,petrol,4.02,2015,72800,2020,4.110114942528735,15220442.532031942,0.1,179.61804476901682,167,47.0,157,-12.04534488335598,8.11551724137931,2056.0,0.7345404687305056,34.01149425287356,26.0,3.4657142857142857,refuel,repair
VW Polo VI,economy,petrol,5.64,2014,66305,2020,4.780919540229885,15158847.443684507,0.14,119.0,166,56.0,664,-13.894125266493301,8.083908045977012,1483.0,0.6418413436976805,34.47701149425287,28.0,3.3200000000000003,refuel,repair
Kia Rio,economy,petrol,3.18,2011,109,2016,3.9791954022988505,11002783.37579502,0.1,182.0,168,44.0,128,14.368673103794919,7.808045977011494,1497.0,0.5098881437162341,33.775862068965516,25.0,4.454285714285715,refuel_reparking,repair
Smart ForFour,economy,petrol,5.22,2013,41121,2017,4.32867816091954,16383163.738025274,0.1,165.41888157592098,171,43.5,136,-5.71560672798965,7.991954022988505,1283.0,0.674335974707048,34.28735632183908,27.0,3.431428571428571,refuel_check,repair
Kia Rio,economy,petrol,4.18,2015,78338,2018,4.202931034482758,13129758.68331423,0.0,200.0,164,44.5,140,-8.029200180549427,7.961494252873563,1174.0,0.45268283051363867,35.701149425287355,25.0,4.168571428571429,refuel,repair
Kia Rio X,economy,petrol,3.04,2015,84778,2020,4.670574712643678,11224021.160501378,0.1,128.6081739429445,166,53.0,667,2.175754163575628,8.09655172413793,1797.0,0.8060556911643272,33.04022988505747,25.0,3.4571428571428573,refuel_check,reparking
Kia Rio X,economy,petrol,3.12,2015,80270,2019,4.378218390804597,8632883.445290618,0.1,155.0373454944734,164,47.0,146,16.572580111670497,8.066091954022989,2191.0,0.5629410401348446,33.42528735632184,28.0,3.0142857142857142,refuel,reparking
Smart ForFour,economy,petrol,4.34,2013,41482,2019,4.938505747126436,8834685.588602964,0.1,183.0,168,52.0,616,-8.99144851309764,8.191379310344827,1747.0,0.6593751479396963,33.9080459770115,25.0,3.6485714285714286,refuel,reparking
VW Polo,economy,petrol,4.28,2012,25882,2017,4.042643678160919,15239660.05885283,0.1,184.05052424110104,164,50.0,135,5.624670101905386,8.086781609195402,1810.0,0.486037609893288,34.41379310344828,27.0,3.1714285714285713,refuel,reparking
Smart ForFour,economy,petrol,2.94,2016,95904,2019,4.6819540229885055,13067984.189968538,0.1,192.0,173,55.5,727,1.8300891133210375,8.070689655172414,1738.0,0.9678490172762035,33.741379310344826,24.0,3.5742857142857143,refuel_check,repair
Tesla Model 3,premium,electro,3.58,2016,89811,2018,4.648448275862069,10237556.049649894,0.1,195.2439613171936,169,54.0,694,6.716249224382176,9.245977011494253,2577.0,0.6460874142309441,33.18390804597701,24.0,3.56,refuel,repair
Smart ForTwo,economy,petrol,6.04,2014,61877,2015,4.3372988505747125,21308740.15601186,0.1,177.03417210125264,171,36.5,133,0.9525112481231401,8.077011494252874,1751.0,0.6965508221627651,33.5919540229885,25.0,2.9057142857142857,refuel,reparking
Kia Sportage,standart,petrol,4.76,2013,46432,2016,3.7486206896551724,18364993.138738506,0.1,187.0,170,44.5,157,5.559501687200246,7.929885057471264,1258.0,0.49618736066264335,34.827586206896555,27.0,2.934285714285714,refuel,repair
Smart ForTwo,economy,petrol,4.72,2016,111683,2016,4.267988505747127,20956875.417997118,0.1,162.29877905302413,167,44.5,135,-6.4449190087185055,8.058045977011494,2174.0,0.5767850099740902,34.724137931034484,27.0,3.2314285714285713,refuel_check,reparking
Hyundai Solaris,economy,petrol,4.4,2014,55154,2021,5.328390804597701,16089425.927670032,0.1,113.68580195567236,167,42.0,126,-20.002326566498535,7.97183908045977,1190.0,0.5266002339356926,35.02298850574713,25.0,3.6114285714285717,refuel,repair
Fiat 500,business,petrol,5.16,2015,80937,2022,4.450114942528736,13835524.77226239,0.1,159.69889100318608,170,39.0,143,21.821151339388727,8.149425287356323,2240.0,0.5392336930975529,32.3448275862069,25.0,2.982857142857143,refuel,repair
Renault Sandero,standart,petrol,3.86,2012,22419,2019,4.129540229885057,18377032.53300276,0.1,190.9486179582776,166,49.5,124,8.30425881052195,7.8597701149425285,1647.0,0.646247112028724,34.201149425287355,26.0,3.4542857142857146,refuel,reparking
Hyundai Solaris,economy,petrol,4.0,2012,19243,2014,4.10551724137931,12573265.740787512,0.1,185.50880081960668,170,44.0,150,-3.250881785911149,7.905172413793103,1603.0,0.7505157293424451,33.49425287356322,26.0,3.3457142857142856,oil_change,repair
Kia Rio X,economy,petrol,5.3,2012,22234,2022,4.804022988505747,14639836.826308446,0.33,194.0,171,51.0,581,10.50707295294547,8.051724137931034,1791.0,0.6576734175239656,33.40229885057471,26.0,3.1114285714285717,refuel_check,repair
VW Polo,economy,petrol,5.28,2015,76719,2020,4.152873563218391,15504226.575770924,0.1,159.72187442931693,170,45.5,143,15.72559424294161,8.100574712643677,1813.0,0.5737945984874673,33.724137931034484,28.0,3.7628571428571425,refuel_check,reparking
Smart ForTwo,economy,petrol,5.62,2015,77620,2016,3.9685057471264367,17688400.945819218,0.1,191.4318597471467,170,43.0,146,11.442993992124553,7.994827586206896,1244.0,0.6880576534398839,33.53448275862069,24.0,3.54,refuel,repair
Smart ForFour,economy,petrol,2.36,2017,109830,2018,4.886264367816092,7158548.788595083,0.1,196.0,164,51.0,593,8.05814759220646,8.104022988505747,1876.0,0.4070436525811735,33.9367816091954,26.0,3.3514285714285714,refuel,reparking
